EpisodeRange,AvgReward,AvgWinRatio,AvgEpsilon,AvgSquaresRevealed,Rows,Cols,NumMines,TotalEpisodes
1-100,-0.334,0.000,0.978,59.920,10,10,10,2000
101-200,-0.305,0.000,0.928,62.510,10,10,10,2000
201-300,-0.289,0.001,0.879,61.300,10,10,10,2000
301-400,-0.281,0.003,0.827,64.680,10,10,10,2000
401-500,-0.371,0.002,0.773,56.630,10,10,10,2000
501-600,-0.275,0.003,0.722,62.520,10,10,10,2000
601-700,-0.290,0.003,0.664,63.920,10,10,10,2000
701-800,-0.300,0.003,0.607,63.020,10,10,10,2000
801-900,-0.246,0.003,0.550,65.160,10,10,10,2000
901-1000,-0.264,0.003,0.495,66.210,10,10,10,2000
1001-1100,-0.259,0.003,0.433,63.990,10,10,10,2000
1101-1200,-0.244,0.005,0.372,59.920,10,10,10,2000
1201-1300,-0.347,0.006,0.307,58.800,10,10,10,2000
1301-1400,-0.219,0.006,0.234,64.910,10,10,10,2000
1401-1500,-0.078,0.009,0.153,66.790,10,10,10,2000
1501-1600,-0.027,0.013,0.100,65.990,10,10,10,2000
1601-1700,0.068,0.017,0.100,63.750,10,10,10,2000
1701-1800,-0.176,0.022,0.100,60.620,10,10,10,2000
1801-1900,-0.289,0.023,0.100,53.200,10,10,10,2000
1901-2000,-0.256,0.024,0.100,58.860,10,10,10,2000
