EpisodeRange,AvgReward,AvgWinRatio,AvgEpsilon,AvgSquaresRevealed,Rows,Cols,NumMines,TotalEpisodes
1-100,-0.222,0.000,0.982,71.540,10,10,8,2000
101-200,-0.229,0.000,0.940,70.940,10,10,8,2000
201-300,-0.170,0.000,0.896,76.360,10,10,8,2000
301-400,-0.137,0.000,0.854,76.590,10,10,8,2000
401-500,-0.214,0.002,0.807,72.310,10,10,8,2000
501-600,-0.104,0.003,0.759,74.170,10,10,8,2000
601-700,-0.135,0.007,0.712,74.100,10,10,8,2000
701-800,-0.115,0.009,0.666,75.900,10,10,8,2000
801-900,-0.139,0.010,0.614,73.680,10,10,8,2000
901-1000,-0.013,0.014,0.559,74.280,10,10,8,2000
1001-1100,-0.050,0.017,0.501,76.360,10,10,8,2000
1101-1200,-0.104,0.018,0.448,74.180,10,10,8,2000
1201-1300,0.052,0.021,0.388,77.440,10,10,8,2000
1301-1400,0.336,0.029,0.329,75.990,10,10,8,2000
1401-1500,0.003,0.036,0.268,64.630,10,10,8,2000
1501-1600,0.054,0.039,0.207,72.100,10,10,8,2000
1601-1700,0.170,0.043,0.135,77.240,10,10,8,2000
1701-1800,0.726,0.053,0.100,76.030,10,10,8,2000
1801-1900,0.754,0.067,0.100,75.850,10,10,8,2000
1901-2000,0.581,0.077,0.100,70.970,10,10,8,2000
