EpisodeRange,AvgReward,AvgWinRatio,AvgEpsilon,AvgSquaresRevealed,Rows,Cols,NumMines,TotalEpisodes
1-100,0.151,0.063,0.989,89.430,10,10,5,1000
101-200,0.073,0.065,0.956,87.640,10,10,5,1000
201-300,0.382,0.080,0.922,88.580,10,10,5,1000
301-400,0.233,0.090,0.889,91.470,10,10,5,1000
401-500,0.133,0.086,0.856,90.570,10,10,5,1000
501-600,0.303,0.086,0.823,89.620,10,10,5,1000
601-700,0.366,0.092,0.789,89.900,10,10,5,1000
701-800,0.425,0.102,0.755,89.740,10,10,5,1000
801-900,0.323,0.107,0.719,88.600,10,10,5,1000
901-1000,0.463,0.112,0.683,90.530,10,10,5,1000
