Episode,TotalReward,SquaresRevealed,Epsilon,WinRatio,EpisodeTime,AverageMoveTime
1,-0.19565217391304324,74,1.0,0.0,0.04033207893371582,0.0050415098667144775
2,-0.13043478260869557,80,1.0,0.0,0.011604070663452148,0.001657724380493164
3,-0.04347826086956519,88,1.0,0.0,0.0029916763305664062,0.0009972254435221355
4,-0.19565217391304346,74,1.0,0.0,0.0029916763305664062,0.0009972254435221355
5,-0.09782608695652162,83,1.0,0.0,0.007115364074707031,0.0017788410186767578
6,-0.06521739130434767,86,1.0,0.0,0.0049855709075927734,0.0009971141815185546
7,-0.06521739130434778,86,0.9997,0.0,1.7433500289916992,0.4358375072479248
8,-0.010869565217391242,91,0.9994000000000001,0.0,0.6009984016418457,0.2003328005472819
9,-0.9782608695652174,2,0.9991000000000001,0.0,0.6286427974700928,0.2095475991566976
10,-0.05434782608695654,87,0.9989000000000001,0.0,0.4145023822784424,0.2072511911392212
11,-0.08695652173913038,84,0.9985000000000002,0.0,0.887876033782959,0.22196900844573975
12,-0.11956521739130421,81,0.9979000000000002,0.0,1.5169994831085205,0.2528332471847534
13,-0.14130434782608692,79,0.9976000000000003,0.0,0.6370019912719727,0.21233399709065756
14,-0.09782608695652173,83,0.9974000000000003,0.0,0.3816239833831787,0.19081199169158936
15,-0.14130434782608692,79,0.9970000000000003,0.0,0.8337407112121582,0.20843517780303955
16,-0.3913043478260869,56,0.9965000000000004,0.0,0.9970071315765381,0.1994014263153076
17,-0.021739130434782594,90,0.9963000000000004,0.0,0.39401769638061523,0.19700884819030762
18,-0.9891304347826086,1,0.9961000000000004,0.0,0.4422190189361572,0.2211095094680786
19,-0.3695652173913043,58,0.9958000000000005,0.0,0.6239821910858154,0.20799406369527182
20,-0.021739130434782483,90,0.9954000000000005,0.0,0.7770874500274658,0.19427186250686646
21,-0.05434782608695654,87,0.9949000000000006,0.0,0.97060227394104,0.194120454788208
22,-0.06521739130434778,86,0.9946000000000006,0.0,0.6096935272216797,0.2032311757405599
23,-0.09782608695652173,83,0.9943000000000006,0.0,0.6129238605499268,0.20430795351664224
24,-0.4782608695652173,48,0.9938000000000007,0.0,1.1114881038665771,0.22229762077331544
25,-0.04347826086956519,88,0.9933000000000007,0.0,0.9423506259918213,0.18847012519836426
26,-0.07608695652173891,85,0.9924000000000008,0.0,1.7275629043579102,0.19195143381754556
27,-0.11956521739130432,81,0.9917000000000009,0.0,1.461367130279541,0.20876673289707728
28,-0.3804347826086957,57,0.991300000000001,0.0,0.875694990158081,0.21892374753952026
29,-0.1630434782608695,77,0.991100000000001,0.0,0.40561509132385254,0.20280754566192627
30,-0.07608695652173902,85,0.990500000000001,0.0,1.285360336303711,0.21422672271728516
31,-0.032608695652173836,89,0.9901000000000011,0.0,0.794011116027832,0.198502779006958
32,-0.4130434782608696,54,0.9897000000000011,0.0,0.7793252468109131,0.19483131170272827
33,-0.08695652173913038,84,0.9894000000000012,0.0,0.636040210723877,0.21201340357462564
34,-0.2065217391304347,73,0.9888000000000012,0.0,1.3833155632019043,0.23055259386698404
35,-0.03260869565217395,89,0.9883000000000013,0.0,0.9920351505279541,0.19840703010559083
36,-0.9891304347826086,1,0.9881000000000013,0.0,0.4646601676940918,0.2323300838470459
37,-0.4782608695652173,48,0.9878000000000013,0.0,1.3559916019439697,0.4519972006479899
38,-0.17391304347826086,76,0.9875000000000014,0.0,0.7380166053771973,0.24600553512573242
39,-0.03260869565217395,89,0.9873000000000014,0.0,0.4666719436645508,0.2333359718322754
40,-0.05434782608695643,87,0.9870000000000014,0.0,0.6932520866394043,0.23108402887980142
41,-0.19565217391304346,74,0.9867000000000015,0.0,0.663123607635498,0.22104120254516602
42,-0.05434782608695654,87,0.9860000000000015,0.0,1.6519818305969238,0.23599740437098912
43,-0.09782608695652173,83,0.9858000000000016,0.0,0.40969133377075195,0.20484566688537598
44,-0.11956521739130432,81,0.9854000000000016,0.0,1.6216261386871338,0.40540653467178345
45,-0.032608695652173836,89,0.9849000000000017,0.0,1.1922199726104736,0.23844399452209472
46,-0.08695652173913038,84,0.9845000000000017,0.0,0.8960049152374268,0.2240012288093567
47,-0.04347826086956519,88,0.9842000000000017,0.0,0.6096899509429932,0.2032299836476644
48,-0.021739130434782483,90,0.9837000000000018,0.0,1.04001784324646,0.20800356864929198
49,-0.04347826086956508,88,0.9831000000000019,0.0,1.2933156490325928,0.2155526081720988
50,-0.06521739130434767,86,0.9826000000000019,0.0,0.9951968193054199,0.19903936386108398
