Episode,TotalReward,SquaresRevealed,Epsilon,WinRatio,Win,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq,EpisodeTime,AverageMoveTime
46,3.04347826086956,74,0.980700000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.34456157684326,0.192080225263323
47,3.58695652173913,79,0.980400000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.573724508285522,0.191241502761841
48,2.71739130434783,71,0.980200000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.369726657867432,0.184863328933716
49,4.67391304347826,89,0.980000000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.447848558425903,0.223924279212952
50,3.26086956521739,76,0.979500000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.939960718154907,0.187992143630981
51,4.13043478260869,84,0.979100000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.74095630645752,0.18523907661438
52,3.91304347826087,82,0.978700000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.801947355270386,0.200486838817596
53,4.67391304347826,89,0.978500000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.338496685028076,0.169248342514038
54,4.1304347826087,84,0.978200000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.563706398010254,0.187902132670085
55,3.91304347826087,82,0.977500000000002,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.32535266876221,0.189336095537458
56,3.80434782608695,81,0.976800000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.38784861564636,0.19826408794948
57,4.78260869565217,90,0.976400000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.801960229873657,0.200490057468414
58,4.78260869565217,90,0.975800000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.14956831932068,0.19159471988678
59,2.93478260869565,73,0.975100000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.38757514953613,0.198225021362305
60,4.23913043478261,85,0.974800000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.58930778503418,0.196435928344727
61,4.23913043478261,85,0.974500000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.703464508056641,0.234488169352214
62,4.1304347826087,84,0.974300000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.523208856582642,0.261604428291321
63,4.56521739130435,88,0.973500000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.52915072441101,0.191143840551376
64,4.23913043478261,85,0.972900000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.27160549163818,0.211934248606364
65,4.89130434782608,91,0.972200000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.32074785232544,0.18867826461792
66,4.56521739130435,88,0.971500000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.31879544258118,0.188399348940168
67,4.02173913043478,83,0.971200000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.585911512374878,0.195303837458293
68,3.69565217391304,80,0.970700000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.10272622108459,0.220545244216919
69,4.1304347826087,84,0.970000000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.38518786430359,0.197883980614798
70,3.69565217391304,80,0.969700000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.624081134796143,0.208027044932047
71,-4.78260869565217,2,0.969400000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.581800937652588,0.193933645884196
72,4.23913043478261,85,0.968900000000003,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.971211671829224,0.194242334365845
73,-4.67391304347826,3,0.968500000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.786397933959961,0.19659948348999
74,4.34782608695652,86,0.968100000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.801931619644165,0.200482904911041
75,3.3695652173913,77,0.967700000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.748620986938477,0.187155246734619
76,3.47826086956522,78,0.967300000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.848039150238037,0.212009787559509
77,4.45652173913043,87,0.966700000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.16767716407776,0.194612860679626
78,0.326086956521739,49,0.966100000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.10288548469543,0.183814247449239
79,3.91304347826087,82,0.965800000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.554598808288574,0.184866269429525
80,-0.978260869565218,37,0.965300000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.989413499832153,0.197882699966431
81,4.23913043478261,85,0.964800000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.951499700546265,0.190299940109253
82,2.39130434782609,68,0.964500000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.585869550704956,0.195289850234985
83,3.80434782608696,81,0.964100000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.764194250106812,0.191048562526703
84,3.69565217391304,80,0.963700000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.739528894424439,0.18488222360611
85,4.67391304347826,89,0.963400000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.60150146484375,0.20050048828125
86,4.34782608695652,86,0.962900000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.941075563430786,0.188215112686157
87,4.13043478260869,84,0.962500000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.765459537506104,0.191364884376526
88,3.69565217391304,80,0.962200000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.584092378616333,0.194697459538778
89,2.39130434782609,68,0.962000000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.378843307495117,0.189421653747559
90,4.67391304347826,89,0.961700000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.554632186889648,0.184877395629883
91,4.23913043478261,85,0.961400000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.585851907730103,0.195283969243368
92,4.89130434782608,91,0.960300000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,2.12045788764954,0.192768898877231
93,0.869565217391305,54,0.960000000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.554600954055786,0.184866984685262
94,4.67391304347826,89,0.959300000000004,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.58883452415466,0.226976360593523
95,4.67391304347826,89,0.958600000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.34404516220093,0.19200645174299
96,4.56521739130435,88,0.958100000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,2.05828738212585,0.411657476425171
97,3.26086956521739,76,0.957800000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.602645397186279,0.200881799062093
98,4.23913043478261,85,0.957500000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.581750154495239,0.19391671816508
99,4.56521739130435,88,0.957000000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.902234792709351,0.18044695854187
100,3.80434782608696,81,0.956800000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.423147439956665,0.211573719978332
101,2.82608695652174,72,0.956500000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.532458782196045,0.177486260732015
102,4.78260869565217,90,0.956100000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.768574953079224,0.192143738269806
103,3.69565217391304,80,0.955800000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.576327800750732,0.192109266916911
104,4.56521739130435,88,0.955500000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.604962587356567,0.201654195785522
105,4.45652173913044,87,0.955300000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.40748929977417,0.203744649887085
106,3.80434782608696,81,0.954700000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.18556618690491,0.197594364484151
107,4.13043478260869,84,0.954000000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.36572432518005,0.195103475025722
108,4.02173913043478,83,0.953400000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.13410210609436,0.189017017682393
109,3.04347826086956,74,0.953200000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.400983333587647,0.200491666793823
110,3.69565217391304,80,0.952900000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.534301519393921,0.17810050646464
111,4.67391304347826,89,0.952500000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.764133453369141,0.191033363342285
112,4.23913043478261,85,0.952200000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.534889936447144,0.178296645482381
113,4.78260869565217,90,0.952000000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.347597122192383,0.173798561096191
114,0.217391304347826,48,0.951500000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.94333815574646,0.188667631149292
115,4.78260869565217,90,0.951300000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.410986185073852,0.205493092536926
116,3.47826086956521,78,0.950800000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.980367422103882,0.196073484420776
117,4.45652173913044,87,0.950600000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.385354280471802,0.192677140235901
118,4.23913043478261,85,0.950300000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.654844522476196,0.218281507492065
119,2.28260869565217,67,0.950100000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.463467121124268,0.231733560562134
120,4.23913043478261,85,0.949800000000005,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.570224761962891,0.190074920654297
121,4.13043478260869,84,0.949200000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.21859574317932,0.203099290529887
122,4.56521739130435,88,0.948900000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.501282930374146,0.167094310124715
123,4.34782608695652,86,0.948700000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.365269899368286,0.182634949684143
124,4.67391304347826,89,0.948400000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.5754075050354,0.191802501678467
125,2.06521739130435,65,0.947900000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.947635889053345,0.189527177810669
126,4.67391304347826,89,0.947500000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.713251113891602,0.1783127784729
127,4.34782608695652,86,0.947200000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.55460262298584,0.18486754099528
128,4.23913043478261,85,0.946600000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.15194439888,0.191990733146667
129,4.1304347826087,84,0.946300000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.542511224746704,0.180837074915568
130,4.45652173913043,87,0.945900000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.07148146629334,0.267870366573334
131,1.08695652173913,56,0.945700000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.37885046005249,0.189425230026245
132,4.67391304347826,89,0.945300000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.755095958709717,0.188773989677429
133,-4.78260869565217,2,0.945000000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.592438697814941,0.197479565938314
134,4.45652173913043,87,0.944400000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.1574559211731,0.192909320195516
135,-4.89130434782609,1,0.944200000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.381283044815063,0.190641522407532
136,-4.89130434782609,1,0.944000000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.300739288330078,0.150369644165039
137,3.58695652173913,79,0.943800000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.369752645492554,0.184876322746277
138,3.91304347826087,82,0.943500000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.570294857025147,0.190098285675049
139,3.80434782608696,81,0.942900000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.11834454536438,0.18639075756073
140,3.91304347826087,82,0.942400000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.97684645652771,0.195369291305542
141,2.39130434782609,68,0.942000000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.792865037918091,0.198216259479523
142,3.69565217391304,80,0.941200000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.79235553741455,0.224044442176819
143,-3.3695652173913,15,0.941000000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.391290187835693,0.195645093917847
144,4.02173913043478,83,0.940600000000006,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.35757517814636,0.339393794536591
145,2.93478260869565,73,0.940400000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.363255977630615,0.181627988815308
146,4.34782608695652,86,0.940000000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.801978349685669,0.200494587421417
147,-4.89130434782609,1,0.939800000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.407487869262695,0.203743934631348
148,4.89130434782609,91,0.939400000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.748571872711181,0.187142968177795
149,4.23913043478261,85,0.938900000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.934088945388794,0.186817789077759
150,2.39130434782609,68,0.938700000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.924370765686035,0.462185382843018
151,4.1304347826087,84,0.938500000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.385348796844482,0.192674398422241
152,4.78260869565217,90,0.937700000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.60397100448608,0.20049637556076
153,4.78260869565217,90,0.937400000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.516842603683472,0.172280867894491
154,4.1304347826087,84,0.937100000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.532548427581787,0.177516142527262
155,4.45652173913043,87,0.936800000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.581680536270142,0.193893512090047
156,4.13043478260869,84,0.936300000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.9338698387146,0.18677396774292
157,4.23913043478261,85,0.935700000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.15959668159485,0.193266113599141
158,4.67391304347826,89,0.935300000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.755089521408081,0.18877238035202
159,4.13043478260869,84,0.934500000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.57987451553345,0.197484314441681
160,4.67391304347826,89,0.933800000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.35667181015015,0.193810258592878
161,3.15217391304348,75,0.933600000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.400972604751587,0.200486302375793
162,4.23913043478261,85,0.933200000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.748626232147217,0.187156558036804
163,4.56521739130435,88,0.932700000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.870959758758545,0.174191951751709
164,4.78260869565217,90,0.932100000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.15816617012024,0.19302769502004
165,3.26086956521739,76,0.931900000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.365644693374634,0.182822346687317
166,-0.326086956521739,43,0.931300000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.67277908325195,0.278796513875325
167,4.56521739130435,88,0.931100000000007,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.363214492797852,0.181607246398926
168,-4.1304347826087,8,0.930700000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.801594495773315,0.200398623943329
169,4.78260869565217,90,0.929400000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,2.41704368591309,0.18592643737793
170,4.78260869565217,90,0.929100000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.16048789024353,0.386829296747843
171,4.67391304347826,89,0.928900000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.382625579833984,0.191312789916992
172,3.69565217391304,80,0.928200000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.46000552177429,0.208572217396327
173,3.58695652173913,79,0.927500000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.4499204158783,0.207131487982614
174,2.60869565217391,70,0.927100000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.735441207885742,0.183860301971436
175,4.67391304347826,89,0.926800000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.56373405456543,0.18791135152181
176,4.45652173913043,87,0.926500000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.560273408889771,0.186757802963257
177,4.89130434782609,91,0.926100000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.737884998321533,0.184471249580383
178,-1.19565217391304,35,0.925800000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.611498832702637,0.203832944234212
179,3.91304347826087,82,0.925400000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.36665892601013,0.341664731502533
180,3.91304347826087,82,0.924500000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.63392567634583,0.181547297371758
181,4.13043478260869,84,0.923900000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.14960193634033,0.191600322723389
182,4.78260869565217,90,0.923600000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.601458787918091,0.200486262639364
183,4.67391304347826,89,0.923300000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.571357488632202,0.190452496210734
184,-1.19565217391304,35,0.923100000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.404484510421753,0.202242255210876
185,3.04347826086956,74,0.922600000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.88945508003235,0.37789101600647
186,4.45652173913044,87,0.922300000000008,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.935173988342285,0.311724662780762
187,4.45652173913044,87,0.921800000000009,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.922837495803833,0.184567499160767
188,3.58695652173913,79,0.921000000000009,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.6532461643219,0.206655770540237
189,2.39130434782609,68,0.920300000000009,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.33422565460205,0.19060366494315
190,4.34782608695652,86,0.919700000000009,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.61999297142029,0.269998828570048
191,3.04347826086956,74,0.919300000000009,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.764450073242188,0.191112518310547
192,4.13043478260869,84,0.917600000000009,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,3.42342400550842,0.201377882676966
193,3.80434782608696,81,0.917300000000009,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.5637047290802,0.187901576360067
194,3.58695652173913,79,0.916900000000009,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.739498376846314,0.184874594211578
195,3.47826086956521,78,0.916200000000009,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,1.31634664535522,0.188049520765032
196,4.78260869565217,90,0.915700000000009,0,0,3,0.99,0.0001,1,0.05,0.0001,3000,32,1000,0.885266780853272,0.177053356170654
