Episode,TotalReward,SquaresRevealed,Epsilon,WinRatio,Win,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq
1,-0.47058823529411775,45,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
2,-0.41176470588235303,50,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
3,-0.3176470588235295,58,0.9999,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
4,-0.6941176470588235,26,0.9993000000000001,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
5,-0.9529411764705882,4,0.9988000000000001,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
6,-0.2823529411764707,61,0.9984000000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
7,-0.9882352941176471,1,0.9982000000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
8,-0.3647058823529412,54,0.9980000000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
9,-0.5176470588235293,41,0.9974000000000003,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
10,-0.9764705882352941,2,0.9971000000000003,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
11,-0.3294117647058824,57,0.9967000000000004,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
12,-0.7294117647058824,23,0.9965000000000004,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
13,-0.9882352941176471,1,0.9963000000000004,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
14,-0.611764705882353,33,0.9961000000000004,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
15,-0.6705882352941177,28,0.9958000000000005,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
16,-0.9647058823529412,3,0.9954000000000005,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
17,-0.9294117647058824,6,0.9947000000000006,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
18,-0.43529411764705894,48,0.9942000000000006,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
19,-0.2941176470588235,60,0.9937000000000007,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
20,-0.14117647058823557,73,0.9921000000000009,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
21,-0.8470588235294118,13,0.990700000000001,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
22,-0.2588235294117649,63,0.9901000000000011,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
23,-0.8588235294117648,12,0.9899000000000011,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
24,-0.2823529411764706,61,0.9895000000000012,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
25,-0.9882352941176471,1,0.9893000000000012,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
26,-0.8352941176470587,14,0.9884000000000013,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
27,-0.3411764705882353,56,0.9879000000000013,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
28,-0.9529411764705882,4,0.9874000000000014,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
29,-0.5176470588235293,41,0.9868000000000015,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
30,-0.6235294117647059,32,0.9862000000000015,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
31,-0.5647058823529412,37,0.9856000000000016,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
32,-0.3058823529411765,59,0.9853000000000016,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
33,-0.8,17,0.9850000000000017,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
34,-0.2941176470588236,60,0.9841000000000018,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
35,-0.8470588235294118,13,0.9827000000000019,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
36,-0.3176470588235296,58,0.982100000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
37,-0.14117647058823535,73,0.981700000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
38,-0.7058823529411764,25,0.981500000000002,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
39,-0.2588235294117648,63,0.9812000000000021,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
40,-0.6588235294117647,29,0.9810000000000021,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
41,-0.776470588235294,19,0.9799000000000022,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
42,-0.6,34,0.9795000000000023,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
43,-0.7411764705882352,22,0.9788000000000023,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
44,-0.7294117647058823,23,0.9785000000000024,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
45,-0.6470588235294117,30,0.9781000000000024,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
46,-0.5647058823529412,37,0.9778000000000024,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
47,-0.40000000000000013,51,0.9772000000000025,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
48,-0.4117647058823529,50,0.9769000000000025,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
49,-0.45882352941176463,46,0.9765000000000026,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
50,-0.9529411764705882,4,0.9760000000000026,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
51,-0.2705882352941178,62,0.9754000000000027,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
52,-0.9529411764705882,4,0.9749000000000028,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
53,-0.48235294117647054,44,0.9744000000000028,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
54,-0.2705882352941178,62,0.9739000000000029,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
55,-0.9882352941176471,1,0.9737000000000029,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
56,-0.3176470588235294,58,0.9735000000000029,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
57,-0.5999999999999999,34,0.972800000000003,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
58,-0.8823529411764706,10,0.9722000000000031,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
