EpisodeRange,RollingAvgReward,RollingAvgWinRatio,RollingAvgEpsilon,RollingAvgSquaresRevealed,CumulativeAvgReward,CumulativeAvgWinRatio,CumulativeAvgEpsilon,CumulativeAvgSquaresRevealed,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq,Rows,Cols,NumMines,TotalEpisodes
2901-3000,-0.579,0.000,0.050,35.810,-0.597,0.000,0.331,34.296,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
3001-3100,-0.610,0.000,0.050,33.120,-0.597,0.000,0.322,34.258,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
3101-3200,-0.612,0.000,0.050,32.970,-0.597,0.000,0.313,34.218,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
3201-3300,-0.637,0.000,0.050,30.820,-0.599,0.000,0.306,34.115,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
3301-3400,-0.675,0.000,0.050,27.630,-0.601,0.000,0.298,33.924,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
3401-3500,-0.608,0.000,0.050,33.310,-0.601,0.000,0.291,33.906,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
3501-3600,-0.592,0.000,0.050,34.700,-0.601,0.000,0.284,33.928,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
3601-3700,-0.602,0.000,0.050,33.840,-0.601,0.000,0.278,33.926,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
3701-3800,-0.627,0.000,0.050,31.680,-0.602,0.000,0.272,33.867,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
3801-3900,-0.612,0.000,0.050,32.950,-0.602,0.000,0.266,33.843,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
3901-4000,-0.663,0.000,0.050,28.670,-0.603,0.000,0.261,33.714,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
