EpisodeRange,RollingAvgReward,RollingAvgWinRatio,RollingAvgEpsilon,RollingAvgSquaresRevealed,CumulativeAvgReward,CumulativeAvgWinRatio,CumulativeAvgEpsilon,CumulativeAvgSquaresRevealed,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq,Rows,Cols,NumMines,TotalEpisodes
1-100,-0.591,0.000,0.975,34.730,-0.591,0.000,0.975,34.730,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
101-200,-0.634,0.000,0.920,31.140,-0.613,0.000,0.948,32.935,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
201-300,-0.630,0.000,0.869,31.490,-0.618,0.000,0.922,32.453,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
301-400,-0.589,0.000,0.818,34.930,-0.611,0.000,0.896,33.072,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
401-500,-0.575,0.000,0.762,36.090,-0.604,0.000,0.869,33.676,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
501-600,-0.582,0.000,0.703,35.510,-0.600,0.000,0.841,33.982,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
601-700,-0.553,0.000,0.648,38.000,-0.593,0.000,0.814,34.556,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
701-800,-0.571,0.000,0.593,36.470,-0.591,0.000,0.786,34.795,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
801-900,-0.594,0.000,0.542,34.550,-0.591,0.000,0.759,34.768,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
901-1000,-0.601,0.000,0.487,33.940,-0.592,0.000,0.732,34.685,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
1001-1100,-0.627,0.000,0.437,31.720,-0.595,0.000,0.705,34.415,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
1101-1200,-0.643,0.000,0.383,30.370,-0.599,0.000,0.678,34.078,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
1201-1300,-0.567,0.000,0.332,36.840,-0.597,0.000,0.652,34.291,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
1301-1400,-0.629,0.000,0.281,31.510,-0.599,0.000,0.625,34.092,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
1401-1500,-0.605,0.000,0.228,33.560,-0.599,0.000,0.599,34.057,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
1501-1600,-0.616,0.000,0.173,32.650,-0.600,0.000,0.572,33.969,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
1601-1700,-0.551,0.000,0.118,38.130,-0.597,0.000,0.545,34.214,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
1701-1800,-0.574,0.000,0.063,36.230,-0.596,0.000,0.519,34.326,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
1801-1900,-0.613,0.000,0.050,32.880,-0.597,0.000,0.494,34.249,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
1901-2000,-0.543,0.000,0.050,38.830,-0.594,0.000,0.472,34.478,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
2001-2100,-0.615,0.000,0.050,32.760,-0.595,0.000,0.452,34.397,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
2101-2200,-0.610,0.000,0.050,33.160,-0.596,0.000,0.433,34.340,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
2201-2300,-0.551,0.000,0.050,38.170,-0.594,0.000,0.417,34.507,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
2301-2400,-0.626,0.000,0.050,31.770,-0.595,0.000,0.401,34.393,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
2401-2500,-0.615,0.000,0.050,32.760,-0.596,0.000,0.387,34.328,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
2501-2600,-0.580,0.000,0.050,35.700,-0.596,0.000,0.374,34.380,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
2601-2700,-0.613,0.000,0.050,32.870,-0.596,0.000,0.362,34.324,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
2701-2800,-0.619,0.000,0.050,32.360,-0.597,0.000,0.351,34.254,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
2801-2900,-0.601,0.000,0.050,33.940,-0.597,0.000,0.341,34.243,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,15,4000
