Episode,TotalReward,SquaresRevealed,Epsilon,WinRatio,Win,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq
1,-0.02083333333333337,94,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
2,-0.02083333333333337,94,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
3,-0.01041666666666663,95,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
4,-0.03125000000000022,93,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
5,-0.01041666666666674,95,1.0,0.0,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
6,3.0,96,1.0,0.16666666666666666,1,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
7,-0.04166666666666674,92,1.0,0.14285714285714285,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
8,-0.01041666666666663,95,1.0,0.125,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
9,-0.02083333333333337,94,0.9998,0.1111111111111111,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
10,3.0,96,0.9996,0.2,1,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
11,-0.01041666666666674,95,0.9993000000000001,0.18181818181818182,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
12,-0.02083333333333337,94,0.9991000000000001,0.16666666666666666,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
13,3.0,96,0.9989000000000001,0.23076923076923078,1,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
14,3.0,96,0.9986000000000002,0.2857142857142857,1,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
15,-0.02083333333333337,94,0.9983000000000002,0.26666666666666666,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
16,-0.10416666666666674,86,0.9980000000000002,0.25,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
17,-0.04166666666666685,92,0.9974000000000003,0.23529411764705882,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
18,-0.05208333333333337,91,0.9968000000000004,0.2222222222222222,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
19,-0.07291666666666674,89,0.9965000000000004,0.21052631578947367,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
20,-0.01041666666666674,95,0.9962000000000004,0.2,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
21,3.0,96,0.9960000000000004,0.23809523809523808,1,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
22,-0.01041666666666663,95,0.9955000000000005,0.22727272727272727,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
23,-0.01041666666666674,95,0.9952000000000005,0.21739130434782608,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
24,-0.04166666666666663,92,0.9950000000000006,0.20833333333333334,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
25,3.0,96,0.9948000000000006,0.24,1,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
26,-0.04166666666666663,92,0.9946000000000006,0.23076923076923078,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
27,-0.01041666666666663,95,0.9944000000000006,0.2222222222222222,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
28,-0.14583333333333337,82,0.9941000000000006,0.21428571428571427,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
29,3.0,96,0.9938000000000007,0.2413793103448276,1,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
30,-0.03125,93,0.9935000000000007,0.23333333333333334,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
31,-0.02083333333333348,94,0.9928000000000008,0.22580645161290322,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
32,-0.07291666666666663,89,0.9926000000000008,0.21875,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
33,-0.03125,93,0.9924000000000008,0.21212121212121213,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
34,-0.02083333333333337,94,0.9922000000000009,0.20588235294117646,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
35,3.0,96,0.9921000000000009,0.22857142857142856,1,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
36,-0.11458333333333337,85,0.9919000000000009,0.2222222222222222,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
37,-0.01041666666666674,95,0.9916000000000009,0.21621621621621623,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
38,-0.02083333333333337,94,0.991400000000001,0.21052631578947367,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
39,-0.02083333333333337,94,0.991100000000001,0.20512820512820512,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
40,-0.01041666666666674,95,0.990800000000001,0.2,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
41,3.0,96,0.990700000000001,0.21951219512195122,1,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
42,-0.03125,93,0.990500000000001,0.21428571428571427,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
43,3.0,96,0.9904000000000011,0.23255813953488372,1,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
44,-0.03125,93,0.9902000000000011,0.22727272727272727,0,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000
