EpisodeRange,AvgReward,AvgWinRatio,AvgEpsilon,AvgSquaresRevealed,Rows,Cols,NumMines,TotalEpisodes
1-100,0.169,0.020,0.986,91.090,10,10,5,500
101-200,0.185,0.066,0.952,89.800,10,10,5,500
201-300,0.322,0.087,0.920,88.510,10,10,5,500
301-400,0.353,0.098,0.886,91.510,10,10,5,500
401-500,0.159,0.098,0.851,90.140,10,10,5,500
